room_id;room_name;area_m2;component_type;component_id;object_type;x_m;y_m;z_m;x_norm;y_norm;z_norm
1S$f5UJPL6lvvbafDPKexq;0.12b;3.736533604799498;socket;39TNNt2NLD$gJb58MtKdJ2;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;13.288999999999804;12.022822900141588;1.475;0.9999999999998495;0.7686684261278257;0.5462962962962963
1S$f5UJPL6lvvbafDPKeq2;0.11e;41.18861300000845;lamp;2cItPlyHHCagf8BrNhpj2U;63_LF_Sylvania Start Surface Slim IP54 Square 4000LM 2CCT D opbouw:S20;2.603131665870695;11.443322900139789;2.575;0.24933348579046308;0.8017858063712379;0.9537037037037037
1S$f5UJPL6lvvbafDPKeq2;0.11e;41.18861300000845;lamp;2cItPlyHHCagf8BrNhpj2V;63_LF_Sylvania Start Surface Slim IP54 Square 4000LM 2CCT D opbouw:S20;2.6031316658706647;8.249322900135217;2.575;0.24933348579045847;0.29355126106072527;0.9537037037037037
1S$f5UJPL6lvvbafDPKeq2;0.11e;41.18861300000845;lamp;2cItPlyHHCagf8BrNhpj2H;63_LF_Sylvania Start Surface Slim IP54 Square 1900LM 2CCT D opbouw:S21;5.0629817837429645;11.431822900141988;2.575;0.6246539187889784;0.7999559074138349;0.9537037037037037
1S$f5UJPL6lvvbafDPKeq2;0.11e;41.18861300000845;socket;3QbHax$TTA59iZCPHwZMIh;62_EF_wcd_opbouw_enkelvoudig:wcd opbouw enkelvoudig;6.300085113043145;12.689072900142689;1.8750000000000002;0.8134093855726494;1.0000115999908805;0.6944444444444445
1S$f5UJPL6lvvbafDPKeq2;0.11e;41.18861300000845;socket;3QbHax$TTA59iZCPHwZMI3;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;6.9889999999998045;12.022822900141588;1.475;0.9185230393652432;0.8939968016774166;0.5462962962962963
1S$f5UJPL6lvvbafDPKeq2;0.11e;41.18861300000845;socket;3QbHax$TTA59iZCPHwZMIV;62_EF_wcd_inbouw_tweevoudig_kindvriendelijk_hor:wcd inbouw tweevoudig;2.594875488880475;12.689072900142788;1.175;0.24807377004584602;1.0000115999908963;0.4351851851851852
1S$f5UJPL6lvvbafDPKeq2;0.11e;41.18861300000845;socket;3QbHax$TTA59iZCPHwZMIT;62_EF_wcd_perilex_2_fasen:perilex 2 fasen;3.057392207109485;12.69332290013609;0.2750000000000001;0.3186439131994942;1.0006878669959567;0.10185185185185187
1S$f5UJPL6lvvbafDPKeq2;0.11e;41.18861300000845;socket;3QbHax$TTA59iZCPHwZMHY;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;3.3499999999998047;12.689072900142788;0.2750000000000001;0.3632895941409528;1.0000115999908963;0.10185185185185187
1S$f5UJPL6lvvbafDPKeq2;0.11e;41.18861300000845;socket;3QbHax$TTA59iZCPHwZMHZ;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;3.057392207109485;12.689072900142788;2.2750000000000004;0.3186439131994942;1.0000115999908963;0.8425925925925927
1S$f5UJPL6lvvbafDPKeq2;0.11e;41.18861300000845;socket;3QbHax$TTA59iZCPHwZMH8;62_EF_wcd_inbouw_tweevoudig_kindvriendelijk_hor:wcd inbouw tweevoudig;4.245876845866294;7.282822900138429;0.2750000000000001;0.49998120931740836;0.13976018778574875;0.10185185185185187
1S$f5UJPL6lvvbafDPKeq2;0.11e;41.18861300000845;socket;39TNNt2NLD$gJb58MtKdKh;62_EF_wcd_inbouw_tweevoudig_kindvriendelijk_hor:wcd inbouw tweevoudig;7.268999999999805;7.9887760251351985;0.2750000000000001;0.9612450411961861;0.2520926127991348;0.10185185185185187
1S$f5UJPL6lvvbafDPKeq2;0.11e;41.18861300000845;socket;39TNNt2NLD$gJb58MtKdKr;62_EF_wcd_inbouw_tweevoudig_kindvriendelijk_hor:wcd inbouw tweevoudig;7.268999999999805;10.419978328918587;0.2750000000000001;0.9612450411961861;0.638949531214743;0.10185185185185187
1S$f5UJPL6lvvbafDPKeq2;0.11e;41.18861300000845;socket;3GvW2Im$P22xEgM773_lMU;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;4.315874999999744;7.446020487513168;0.2750000000000001;0.5106614281354508;0.16572845692008017;0.10185185185185187
1S$f5UJPL6lvvbafDPKeq2;0.11e;41.18861300000845;socket;3GvW2Im$P22xEgM773_lKb;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;7.268999999999805;7.6885885251356685;0.2750000000000001;0.9612450411961861;0.20432628294004204;0.10185185185185187
1S$f5UJPL6lvvbafDPKeq2;0.11e;41.18861300000845;socket;0HufO$z_vC9wyd8K0d2STC;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;1.5499999999998046;12.689072900142788;1.175;0.08864815379917679;1.0000115999908963;0.4351851851851852
1S$f5UJPL6lvvbafDPKeq0;0.11d;10.153865312501681;lamp;2cItPlyHHCagf8BrNhpj2G;63_LF_Sylvania Start Surface Slim IP54 Square 4000LM 2CCT D opbouw:S20;5.6745066658712355;7.896522900141748;2.575;0.5082559423413591;0.31341921814967993;0.9537037037037037
1S$f5UJPL6lvvbafDPKeq0;0.11d;10.153865312501681;socket;3QbHax$TTA59iZCPHwZMIi;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;6.9889999999998045;6.963829521679848;0.2750000000000001;0.999999999999927;0.06787666754766543;0.10185185185185187
1S$f5UJPL6lvvbafDPKeq0;0.11d;10.153865312501681;socket;3QbHax$TTA59iZCPHwZMIj;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;6.9889999999998045;8.788829521679848;0.2750000000000001;0.999999999999927;0.5483294778674525;0.10185185185185187
1S$f5UJPL6lvvbafDPKeq0;0.11d;10.153865312501681;socket;3QbHax$TTA59iZCPHwZMH5;62_EF_wcd_inbouw_tweevoudig_kindvriendelijk_hor:wcd inbouw tweevoudig;4.315876845866295;7.756072900138329;0.2750000000000001;6.905274968095406e-07;0.2764440963901968;0.10185185185185187
1S$f5UJPL6lvvbafDPKenp;0.10e;56.065370903702885;lamp;2cItPlyHHCagf8BrNhpj3V;63_LF_Sylvania Start Surface Slim IP54 Square 4000LM 2CCT D opbouw:S20;-3.6968683341293054;11.443322900139789;2.575;0.18373414441259084;0.8017858063712363;0.9537037037037037
